Rank,Release Group,Worldwide,Domestic,%,Foreign,%
90,UFC Countdown: UFC 311 Countdown: Makhachev vs. Tsarukyan 2,"$334,988","$334,988",100%,-,-
91,Swiatloczula,"$334,386",-,-,"$334,386",100%
92,Queen of Mahjong,"$330,091",-,-,"$330,091",100%
93,Sky Force,"$296,905",-,-,"$296,905",100%
94,Sing Sing 2025 Re-release,"$289,829","$289,829",100%,-,-
95,Thunderstruck Cop,"$289,633",-,-,"$289,633",100%
96,Kayara,"$283,035",-,-,"$283,035",100%
97,Lotereya,"$280,428",-,-,"$280,428",100%
98,The Devil's Lair,"$242,110",-,-,"$242,110",100%
99,Ponman,"$231,803",-,-,"$231,803",100%
100,Hüddam 5: Zuhur,"$230,738",-,-,"$230,738",100%
101,Peter Pan's Neverland Nightmare,"$230,515","$230,515",100%,-,-
102,Lembayung,"$219,319",-,-,"$219,319",100%
103,Octopus with Broken Arms,"$215,198",-,-,"$215,198",100%
104,Parvulos,"$203,185",-,-,"$203,185",100%
105,Bring Them Down,"$202,327","$202,327",100%,-,-
106,Pravinkoodu Shappu,"$197,118",-,-,"$197,118",100%
107,Harry Potter and the Chamber of Secrets 2025 Re-release,"$194,328",-,-,"$194,328",100%
108,Inheritance,"$192,223","$192,223",100%,-,-
109,De rettsløse,"$192,015",-,-,"$192,015",100%
110,Alarum,"$180,646",-,-,"$180,646",100%
111,Madha Gaja Raja,"$169,618",-,-,"$169,618",100%
112,The Wind Rises 2024 Re-release,"$166,293",-,-,"$166,293",100%
113,Dead Dead Demons Dededede Destruction,"$158,531",-,-,"$158,531",100%
114,Daaku Maharaaj,"$157,823",-,-,"$157,823",100%
115,Tete ve Masal: Rüyalar Diyari,"$153,977",-,-,"$153,977",100%
116,Ripples,"$152,422",-,-,"$152,422",100%
117,The Corpse Washer,"$150,997",-,-,"$150,997",100%
118,Emergency,"$147,371",-,-,"$147,371",100%
119,In the Name of Blood,"$144,831",-,-,"$144,831",100%
120,Azaad,"$137,528",-,-,"$137,528",100%
121,Crypto Man,"$132,423",-,-,"$132,423",100%
122,Ski - The Greatest Ski Tour of All Time,"$126,290",-,-,"$126,290",100%
123,Kang Mak,"$124,056",-,-,"$124,056",100%
124,Liza: A Truly Terrific Absolutely True Story,"$120,392","$120,392",100%,-,-
125,Majhail,"$114,423",-,-,"$114,423",100%
126,Tandari,"$110,073",-,-,"$110,073",100%
127,Class 90,"$108,737",-,-,"$108,737",100%
128,Julie Keeps Quiet,"$108,117",-,-,"$108,117",100%
129,Hobal,"$103,631",-,-,"$103,631",100%
130,Dismantling an Elephant,"$103,565",-,-,"$103,565",100%
131,Temel: Sümela'nin Sifresi Yeniden,"$101,460",-,-,"$101,460",100%
132,Fateh,"$101,332",-,-,"$101,332",100%
133,(G)I-dle World Tour [iDOL] in Cinemas,"$100,077",-,-,"$100,077",100%
134,ELMESTRAI7A,"$94,435",-,-,"$94,435",100%
135,Norbert(a),"$92,630",-,-,"$92,630",100%
136,Storm City,"$92,079",-,-,"$92,079",100%
137,Par amour,"$91,565",-,-,"$91,565",100%
138,Into the Deep,"$87,338",-,-,"$87,338",100%
139,Po baram,"$86,246",-,-,"$86,246",100%
140,Filmlovers!,"$86,123",-,-,"$86,123",100%
141,Duel in trei,"$85,337",-,-,"$85,337",100%
142,A Boat in the Garden,"$83,389",-,-,"$83,389",100%
143,And the Breadwinner Is...,"$82,649",-,-,"$82,649",100%
144,Shaman,"$75,889",-,-,"$75,889",100%
145,Rich Flu,"$73,893",-,-,"$73,893",100%
146,Kadhalikka Neramillai,"$70,834",-,-,"$70,834",100%
147,All for One,"$70,108",-,-,"$70,108",100%
148,Holka od vedle,"$68,640",-,-,"$68,640",100%
149,Honey Money Phony,"$61,869",-,-,"$61,869",100%
150,Baby Blue,"$57,701",-,-,"$57,701",100%
151,6 Days,"$57,629",-,-,"$57,629",100%
152,Empareja2,"$56,799",-,-,"$56,799",100%
153,Vanangaan,"$56,449",-,-,"$56,449",100%
154,Kudumbasthan,"$52,264",-,-,"$52,264",100%
155,Birdeater,"$50,909",-,-,"$50,909",100%
156,Chetyre chetverti,"$46,941",-,-,"$46,941",100%
157,William Tell,"$43,415",-,-,"$43,415",100%
158,Cellar Door,"$39,830",-,-,"$39,830",100%
159,La mitad de Ana,"$38,485",-,-,"$38,485",100%
160,Extremely Unique Dynamic,"$38,207","$38,207",100%,-,-
161,Askin Dünkü Çocuklari,"$37,339",-,-,"$37,339",100%
162,Love Never Dies 2025 Re-release,"$37,037",-,-,"$37,037",100%
163,Yeh Jawaani Hai Deewani 2025 Re-release,"$36,154",-,-,"$36,154",100%
164,Sarah & Duck on the Big Screen,"$33,860",-,-,"$33,860",100%
165,Blue Road: The Edna O'Brien Story,"$33,684",-,-,"$33,684",100%
166,Don't close your eyes,"$32,814",-,-,"$32,814",100%
167,DIG! XX,"$28,317","$28,317",100%,-,-
168,Yahuda,"$27,288",-,-,"$27,288",100%
169,Dirty Angels,"$27,229",-,-,"$27,229",100%
170,Cornell's Box,"$26,875",-,-,"$26,875",100%
171,Boundless,"$26,050",-,-,"$26,050",100%
172,Once Upon a Time in Indochine,"$25,872",-,-,"$25,872",100%
173,Sukkar 2,"$25,809",-,-,"$25,809",100%
174,Marked Men,"$25,359",-,-,"$25,359",100%
